placeNumber,placeName,shortDetail,longDetail,websiteLink,googleMapLink,location,address,characteristics,openningHours,price
0,天王寺動物園,天王寺公園で特に人気の動物園。サバンナから熱帯雨林までさまざまな環境に生息する 200 種以上の動物たちを展示。,"天王寺動物園は、大阪市にある歴史ある動物園で、1915年に開園しました。総面積は約11ヘクタールあり、約180種類、1000頭以上の動物が飼育されています。園内はアフリカサバンナやアジアの森林など、動物たちの自然環境を再現したエリアが設けられ、動物の生態を身近に感じられるよう工夫されています。特に人気の高い動物は、ライオン、ゾウ、キリン、ホッキョクグマなどで、動物の食事タイムや触れ合いイベントも定期的に開催されています。また、天王寺公園に隣接しており、都会の中で自然と触れ合える癒しの場所としても親しまれています。",https://www.tennojizoo.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3282.1428282254187!2d135.5084344!3d34.6510957!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000ddf5c4955555%3A0x1a80ffc5f37ea293!2z5aSp546L5a-65YuV54mp5ZyS!5e0!3m2!1sja!2sjp!4v1728754437414!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒543-0063 大阪府大阪市天王寺区茶臼山町１−１０８,動物園,"開園時間：9:30～17:00 　5・9月の土日祝日は～18:00　※いずれも入園は一時間前まで 休園日：月曜日（祝日の場合は翌日）、年末年始（12月29日～1月1日）",TRUE
1,万博記念公園,万博記念公園は大阪府に位置し、自然豊かな広大な敷地に太陽の塔や美しい日本庭園が広がる観光地です。,万博記念公園は、大阪府吹田市に位置し、1970年に開催された日本万国博覧会の会場跡地に作られた広大な公園です。シンボルである岡本太郎の「太陽の塔」を中心に、四季折々の自然が楽しめる日本庭園や、広々とした芝生広場、博物館、美術館などが点在し、家族連れからカップルまで幅広い層に人気のスポットです。また、季節ごとの花々が公園を彩り、春の桜や秋の紅葉など、訪れるたびに異なる美しさを楽しむことができます。リラックスや散策に最適な場所です。,https://www.expo70-park.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6551.9942035001295!2d135.5262098753904!3d34.806014772882484!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000fcb4a27adf27%3A0x66a0ea1cda80d2b4!2z5LiH5Y2a6KiY5b-15YWs5ZyS!5e0!3m2!1sja!2sjp!4v1729825561408!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒565-0826 大阪府吹田市千里万博公園,公園,開館時：10:00～17:00  休館日：無休,TRUE
2,ユニバーサル・スタジオ・ジャパン,ユニバーサル・スタジオ・ジャパンは、大阪にある人気のテーマパークです。,ユニバーサル・スタジオ・ジャパン（USJ）は、大阪に位置する日本を代表するテーマパークです。映画やアニメ、ゲームをテーマにしたアトラクションが多数あり、特に「ハリー・ポッター」や「スーパーマリオ」のエリアが人気です。世界的に有名なキャラクターや映画の世界を体験できるだけでなく、季節ごとのイベントやショーも魅力的です。ファミリー、カップル、友人同士など、あらゆる年齢層が楽しめるスポットで、国内外から多くの観光客が訪れます。,https://www.usj.co.jp/web/ja/jp,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3281.565411126531!2d135.42973821136115!3d34.665676772819296!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e0d083d5e25d%3A0x3605fe25303252aa!2z5pel5pys55Kw55CD5b2x5Z-O!5e0!3m2!1szh-TW!2sjp!4v1729832911913!5m2!1szh-TW!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒554-0031 大阪府大阪市此花区桜島２丁目１−３３,遊園地,公式サイトで確認してください。,TRUE
3,大阪城天守閣,大阪城天守閣は、日本の歴史を感じられる名城で、展望台からは大阪市街を一望できます。,大阪城天守閣は、豊臣秀吉によって築かれた歴史的な名城で、日本の戦国時代を象徴する重要な建築物の一つです。現在の天守閣は再建されたものですが、内部は博物館になっており、大阪城や豊臣秀吉に関する展示が充実しています。最上階の展望台からは、大阪市内を一望できる絶景が広がり、特に桜の季節には城周辺の公園が美しい花で彩られ、多くの観光客が訪れます。大阪の歴史と文化を体感できる人気の観光スポットです。,https://www.osakacastle.net/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.7088819211576!2d135.52328021136202!3d34.68729617281152!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e0d2ba19f027%3A0x430e3c2bcd818ac1!2z5aSn6Ziq5Z-OIOWkqeWuiOmWow!5e0!3m2!1szh-TW!2sjp!4v1729833572613!5m2!1szh-TW!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒540-0002 大阪府大阪市中央区大阪城１−１,建築,開園時間：9:00～17:00（入館は16:30まで） 　休館日：12月28日～1月1日,TRUE
4,京都水族館,京都水族館は、内陸に位置する珍しい水族館で、豊かな海や川の生態系を展示しています。,京都水族館は、内陸に位置しながらも、海や川の豊かな生態系をテーマにしたユニークな水族館です。日本の川を再現した「京の川」エリアや、アシカやペンギンの生態を観察できるエリアがあり、地域の自然環境や生物に焦点を当てた展示が特徴です。特に、国内でも珍しいオオサンショウウオの展示が注目されており、京都ならではの生物多様性を楽しむことができます。また、イルカショーや季節ごとのイベントも充実しており、子どもから大人まで楽しめるスポットです。,https://www.kyoto-aquarium.com/index.html,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.708882117436!2d135.5258604847034!3d34.687296167858655!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6001061c0b78dc5d%3A0x5417da24aac74659!2z5Lqs6YO95rC05peP6aSo!5e0!3m2!1szh-TW!2sjp!4v1729833662853!5m2!1szh-TW!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒600-8835 京都府京都市下京区観喜寺町３５−１ 内 梅小路公園,水族館,公式サイトで確認してください。,TRUE
5,神戸ポートタワー,神戸ポートタワーは神戸港のシンボルで、360度のパノラマビューが楽しめる展望タワーです。,神戸ポートタワーは、神戸港のシンボル的存在であり、独特の曲線を持つ赤い外観が特徴の高さ108メートルの展望タワーです。展望台からは、神戸の市街地や港、六甲山系など、360度のパノラマビューを楽しむことができます。特に夜景が美しく、神戸の観光名所として多くの訪問者に人気があります。また、タワー内部には展示スペースやレストランがあり、神戸の文化や風景を一望しながら食事を楽しむことも可能です。,https://www.kobe-port-tower.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.8937895155027!2d135.18411921136186!3d34.68262997281325!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60008f0028e2e4c1%3A0xb7ee42d807a8ac82!2z56We5oi25riv5aGU!5e0!3m2!1szh-TW!2sjp!4v1729833712482!5m2!1szh-TW!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒650-0042 兵庫県神戸市中央区波止場町５−５,建築,展望フロアの営業時間（最終入場22:30）　屋上デッキ／屋内展望エリア／ミュージアム／ギャラリー：09:00～23:00　回転カフェ＆バー：09:00～23:00（L.O.22:00）　ショップ：09:00～18:00,TRUE
6,京都鉄道博物館,京都鉄道博物館は、歴史的な車両や鉄道技術を展示し、鉄道ファンに人気の博物館です。,京都鉄道博物館は、日本の鉄道の歴史や技術を幅広く学べる博物館で、鉄道ファンや家族連れに人気のスポットです。館内には、明治時代から現代までの様々な歴史的な鉄道車両が展示されており、蒸気機関車や新幹線などを間近で見ることができます。また、シミュレーター体験や実際に動くSL（蒸気機関車）に乗車できるプログラムもあり、子どもから大人まで楽しめる内容です。鉄道の歴史や技術進化を深く理解できる、学びと楽しさが詰まった博物館です。,https://www.kyotorailwaymuseum.jp,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3268.7830498866842!2d135.73969291137513!3d34.98709857270601!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6001061746adc243%3A0x899ffa889ace79ed!2z5Lqs6YO96ZC16YGT5Y2a54mp6aSo!5e0!3m2!1szh-TW!2sjp!4v1729836625866!5m2!1szh-TW!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒600-8835 京都府京都市下京区観喜寺町,博物館,開館時間：10:00～17:00（入館は16:30まで）　休館日：毎週水曜日・年末年始（12/30〜1/1）ほか　※祝日、春休み、夏休みなどは開館,TRUE
7,京都市京セラ美術館,京都市京セラ美術館は、歴史ある近代美術館で、京都の文化と芸術を展示しています。,京都市京セラ美術館は、1933年に開館した歴史的な美術館で、近代と現代の美術作品を展示しています。2020年に大規模なリニューアルを経て、新しい展示スペースやカフェ、ショップが追加され、現代の美術館として生まれ変わりました。館内では、日本の近代美術から現代アートまで幅広い作品が展示されており、特に京都ゆかりの芸術家たちの作品が見どころです。また、季節ごとの企画展や特別展も充実しており、京都の文化と芸術を体感できるスポットとして、多くの訪問者に親しまれています。,https://kyotocity-kyocera.museum/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d949.9245162234952!2d135.78402762801713!3d35.0132654632861!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x600108e69215a053%3A0x91db29e5357cac58!2z5Lqs6YO95biC5Lqs55O3576O6KGT6aSo!5e0!3m2!1szh-TW!2sjp!4v1729836657338!5m2!1szh-TW!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒606-8344 京都府京都市左京区岡崎円勝寺町１２４,美術館,開館時間：10:00～18:00　※最終入場時間は展覧会により異なります　休館日：月曜日 *祝・休日の場合は開館／年末年始（12月28日〜1月2日）,TRUE
8,哲学の道,哲学の道は、京都にある桜並木が美しい散策路で、静かな雰囲気が魅力の人気観光スポットです。,哲学の道は、京都市左京区に位置する約2キロメートルにわたる美しい散策路で、琵琶湖疏水に沿って桜並木が続いています。この道は、京都大学の哲学者・西田幾多郎が思索にふけりながら歩いたことから名付けられました。春には桜、秋には紅葉が楽しめるため、四季折々の自然美を求めて多くの観光客が訪れます。また、道沿いには南禅寺や銀閣寺などの名所があり、歴史と自然を同時に楽しむことができる京都を代表する散策スポットです。,https://tetsugakunomichi.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9542.45079158256!2d135.78673938377796!3d35.02623590958114!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60010908ae94f057%3A0x917af331a75280f4!2z5ZOy5a245LmL6YGT!5e0!3m2!1szh-TW!2sjp!4v1729836685959!5m2!1szh-TW!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒606-8426 京都府京都市左京区,風景,無休,FALSE
9,京都府立植物園,京都府立植物園は、四季折々の花や植物が楽しめる広大な公園で、癒しのスポットとして親しまれています。,京都府立植物園は、1924年に開園した日本最古の公立植物園で、広さ24ヘクタールに及ぶ広大な敷地を誇ります。園内では、四季折々の花々や植物を楽しむことができ、特に春の桜や秋の紅葉は多くの訪問者を魅了します。温室には熱帯・亜熱帯の植物が展示され、珍しい植物を見ることができるのも魅力の一つです。また、庭園内にはバラ園やハーブ園など多彩なテーマガーデンがあり、自然を満喫しながら散策できる憩いの場として地元の人々や観光客に親しまれています。,https://www.kyotobotanicalgardens.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3266.324824750902!2d135.7630378!3d35.048617199999995!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6001081b1979efd5%3A0x9bba6e81c2248ac5!2z5Lqs6YO95bqc56uL5qSN54mp5ZyS!5e0!3m2!1szh-TW!2sjp!4v1729836743223!5m2!1szh-TW!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",京都府,〒606-0823 京都府京都市左京区下鴨半木町,植物園,【開園時間】午前9時から午後5時まで（入園は午後4時まで） 【観覧温室開室時間】午前10時から午後4時まで（入室は午後3時30分まで） 観覧温室の昼夜逆転室は、11月から4月までの間は閉室します。 【休園日】12月28日から1月4日まで　※季節やイベントによって開園・開室時間が異なる場合があります,TRUE
10,神戸どうぶつ王国,神戸どうぶつ王国は、動物とのふれあいやショーが楽しめる、全天候型の動物テーマパークです。,神戸どうぶつ王国は、動物とのふれあいやショーが楽しめる、全天候型の動物テーマパークです。広大な温室内では、鳥やカピバラ、カンガルーなど、多種多様な動物たちが自然に近い環境で展示されています。訪問者は、動物たちに直接触れたり、餌をあげたりすることができ、特に子ども連れのファミリーに人気です。また、迫力満点のバードショーやアニマルショーも見どころの一つです。天候を気にせず楽しめるため、雨の日でも快適に過ごせるのが魅力です。,https://www.kobe-oukoku.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3282.00242961223!2d135.2199665113606!3d34.65464157282323!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x600091f82316e69b%3A0x8ea652d596843c4!2z56We5oi25YuV54mp546L5ZyL!5e0!3m2!1szh-TW!2sjp!4v1729836761445!5m2!1szh-TW!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒650-0047 兵庫県神戸市中央区港島南町７丁目１−９,動物園,開館時間：午前10時から午後5時まで（最終入園は午後4時30分）です。土日祝日は午前9時30分から午後5時まで営業しています。　休館日：毎週木曜日,TRUE
11,南京町,南京町は、神戸にある中華街で、多彩な中華料理や雑貨が楽しめる、異国情緒あふれる観光スポットです。,南京町は、神戸市中央区に位置する日本三大中華街の一つで、異国情緒あふれる観光スポットとして人気です。1868年の開港以来、華僑が集まり形成されたこのエリアには、狭い路地に中華料理店や中華食材店が軒を連ね、多彩な食文化を楽しむことができます。特に、食べ歩きが名物で、豚まんや餃子、春巻きなどの本格的な中華料理を気軽に味わうことができるのが魅力です。また、旧正月などには華やかなイベントが開催され、多くの観光客が訪れます。,https://www.nankinmachi.or.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.6725006789943!2d135.1881104!3d34.688214200000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60008efdbdb0aa91%3A0x1d6f1801d67f1901!2z5Y2X5Lqs55S6!5e0!3m2!1sja!2sjp!4v1730853931819!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒650-0023 兵庫県神戸市中央区栄町通１丁目３−１８,null,年中無休,FALSE
12,átoa,átoaは、神戸にあるデジタル技術とアートを融合した水族館で、独創的な展示と体験が楽しめます。,átoa（アトア）は、神戸にある新感覚の水族館で、デジタルアートと生きた海洋生物が融合した独創的な展示が特徴です。従来の水族館とは異なり、アートギャラリーのような美しい空間で、魚やクラゲなどがデジタル技術とともに演出され、幻想的な体験を提供します。各展示エリアごとに異なるテーマがあり、五感を刺激するアートと生物たちの共演を楽しむことができます。特に、インタラクティブな演出や光と音を駆使した展示が話題で、家族連れやカップルに人気のスポットです。,https://atoa-kobe.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.870148800228!2d135.19104447652452!3d34.683226584148876!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60008fbda0afa7c1%3A0x8f7ee912ecb7c1d4!2z44Ki44OI44Ki!5e0!3m2!1sja!2sjp!4v1730853955964!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒650-0041 兵庫県神戸市中央区新港町７−２,水族館,"開館時間：10:00-19:00／年中無休（最終入場は閉館の30分前まで）",TRUE
13,神戸布引ハーブ園／ロープウェイ,神戸布引ハーブ園／ロープウェイは、神戸の山中に広がる美しいハーブ園と絶景を楽しめるロープウェイが魅力です。,神戸布引ハーブ園／ロープウェイは、神戸の市街地からロープウェイでアクセスできる、日本最大級のハーブ園です。ロープウェイでは、港や市街地、自然豊かな六甲山の絶景を眺めながら約10分の空中散歩が楽しめます。園内には約200種のハーブや花々が植えられており、四季折々の美しい景観が広がります。また、ハーブを使った料理やリラクゼーション体験も充実しており、自然の中で癒しの時間を過ごすことができます。観光やデートにも人気のスポットです。,https://www.kobeherb.com/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.0298319175395!2d135.1938755!3d34.70442750000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60008ed15662aa59%3A0x825ca47fbd678f55!2z56We5oi45biD5byV44OP44O844OW5ZyS77yP44Ot44O844OX44Km44Kn44Kk!5e0!3m2!1sja!2sjp!4v1730854101669!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒650-0002 兵庫県神戸市中央区北野町１丁目４−３,植物園,公式サイトで確認してください。,TRUE
14,兵庫県立美術館,兵庫県立美術館は、モダンアートを中心に展示する美術館で、神戸の海辺に位置し、建築も魅力的です。,兵庫県立美術館は、神戸市の海岸沿いに位置する美術館で、主にモダンアートを中心に展示しています。建築家・安藤忠雄氏が設計したモダンな建物も見どころの一つで、館内外の空間デザインが美術作品と調和しています。常設展では、日本や世界の近現代美術作品が展示され、企画展も定期的に開催されています。また、屋外には彫刻作品が展示されており、港の景色を楽しみながら芸術を鑑賞できます。美術ファンだけでなく、神戸の観光名所としても人気です。,https://www.artm.pref.hyogo.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.2349540001683!2d135.21567887652498!3d34.69925338328908!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60008e86906eb067%3A0x828759978b8b47e2!2z5YW15bqr55yM56uL576O6KGT6aSo!5e0!3m2!1sja!2sjp!4v1730854176375!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神戶市,〒651-0073 兵庫県神戸市中央区脇浜海岸通１丁目１−１,美術館,開館時間：10:00～18:00（入場は17:30まで）休館日：月曜日（祝休日の場合は翌日）、年末年始、メンテナンス休館,TRUE
15,花博記念公園鶴見緑地,花博記念公園 鶴見緑地は、大阪にある広大な公園で、四季折々の花や自然が楽しめる憩いの場です。,"花博記念公園 鶴見緑地は、大阪市鶴見区にある広大な都市公園で、1990年に開催された「国際花と緑の博覧会」（花博）を記念して整備されました。園内には、四季折々の美しい花々が咲き誇る庭園や、風車がシンボルの「風の丘」、日本庭園など、多彩なエリアがあります。また、バーベキュー施設やサイクリングコース、遊具広場なども完備されており、家族連れやピクニックに訪れる人々に人気です。都会の喧騒から離れ、自然を満喫できる憩いのスポットとして、多くの人に親しまれています。",https://www.tsurumi-ryokuchi.jp/,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3279.736639861784!2d135.5724420766654!3d34.71182197291575!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e04887e1384d%3A0x3f52690c59d14beb!2z6Iqx5Y2a6KiY5b-15YWs5ZySIOm2tOimi-e3keWcsA!5e0!3m2!1sja!2sjp!4v1730854623566!5m2!1sja!2sjp"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",大阪府,〒538-0036 大阪府大阪市鶴見区緑地公園２−１６３,公園,年中無休,FALSE
